name1,relationship,name2
aaron,has_nickname,erin
aaron,has_nickname,ron
aaron,has_nickname,ronnie
abbigail,has_nickname,abbe
abbigail,has_nickname,abbey
abbigail,has_nickname,abbi
abbigail,has_nickname,abbie
abbigail,has_nickname,abby
abbigail,has_nickname,gail
abbigail,has_nickname,nabby
abbigale,has_nickname,abbe
abbigale,has_nickname,abbey
abbigale,has_nickname,abbi
abbigale,has_nickname,abbie
abbigale,has_nickname,abby
abbigale,has_nickname,gail
abbigale,has_nickname,nabby
abednego,has_nickname,bedney
abel,has_nickname,ab
abel,has_nickname,abe
abel,has_nickname,eb
abel,has_nickname,ebbie
abiel,has_nickname,ab
abigail,has_nickname,abbe
abigail,has_nickname,abbey
abigail,has_nickname,abbi
abigail,has_nickname,abbie
abigail,has_nickname,abby
abigail,has_nickname,gail
abigail,has_nickname,nabby
abigale,has_nickname,abbe
abigale,has_nickname,abbey
abigale,has_nickname,abbi
abigale,has_nickname,abbie
abigale,has_nickname,abby
abigale,has_nickname,gail
abigale,has_nickname,nabby
abijah,has_nickname,ab
abijah,has_nickname,bige
abner,has_nickname,ab
abraham,has_nickname,ab
abraham,has_nickname,abe
abram,has_nickname,ab
abram,has_nickname,abe
absalom,has_nickname,ab
absalom,has_nickname,abbie
absalom,has_nickname,app
ada,has_nickname,addy
ada,has_nickname,adie
adaline,has_nickname,ada
adaline,has_nickname,addy
adaline,has_nickname,adie
adaline,has_nickname,delia
adaline,has_nickname,dell
adaline,has_nickname,lena
addison,has_nickname,addie
addison,has_nickname,addy
adela,has_nickname,adie
adela,has_nickname,della
adelaide,has_nickname,addy
adelaide,has_nickname,adele
adelaide,has_nickname,adie
adelaide,has_nickname,dell
adelaide,has_nickname,della
adelaide,has_nickname,heidi
adelbert,has_nickname,albert
adelbert,has_nickname,bert
adelbert,has_nickname,del
adelbert,has_nickname,delbert
adele,has_nickname,addy
adele,has_nickname,dell
adeline,has_nickname,ada
adeline,has_nickname,addy
adeline,has_nickname,delia
adeline,has_nickname,dell
adeline,has_nickname,lena
adelphia,has_nickname,addy
adelphia,has_nickname,adele
adelphia,has_nickname,dell
adelphia,has_nickname,delphia
adelphia,has_nickname,philly
adena,has_nickname,adina
adena,has_nickname,deena
adena,has_nickname,dena
adena,has_nickname,dina
adolphus,has_nickname,ado
adolphus,has_nickname,adolph
adolphus,has_nickname,dolph
adrian,has_nickname,rian
adriane,has_nickname,riane
adrienne,has_nickname,addie
adrienne,has_nickname,enne
adrienne,has_nickname,rienne
agatha,has_nickname,aga
agatha,has_nickname,aggy
agnes,has_nickname,aggy
agnes,has_nickname,inez
agnes,has_nickname,nessa
aileen,has_nickname,allie
aileen,has_nickname,lena
alan,has_nickname,al
alanson,has_nickname,al
alanson,has_nickname,lanson
alastair,has_nickname,al
alazama,has_nickname,ali
albert,has_nickname,al
albert,has_nickname,bert
alberta,has_nickname,allie
alberta,has_nickname,bert
alberta,has_nickname,bertie
aldo,has_nickname,al
aldrich,has_nickname,rich
aldrich,has_nickname,riche
aldrich,has_nickname,richie
aleksandr,has_nickname,alek
aleksandr,has_nickname,alex
aleva,has_nickname,leve
aleva,has_nickname,levy
alex,has_nickname,al
alexander,has_nickname,al
alexander,has_nickname,alec
alexander,has_nickname,alex
alexander,has_nickname,sandy
alexandra,has_nickname,alex
alexandra,has_nickname,alla
alexandra,has_nickname,sandra
alexandra,has_nickname,sandy
alexandria,has_nickname,alex
alexandria,has_nickname,alexander
alexandria,has_nickname,alla
alexandria,has_nickname,drina
alexandria,has_nickname,sandra
alexis,has_nickname,alex
alexis,has_nickname,lexi
alfonse,has_nickname,al
alfred,has_nickname,al
alfred,has_nickname,fred
alfred,has_nickname,freddy
alfreda,has_nickname,alfy
alfreda,has_nickname,freda
alfreda,has_nickname,freddy
alfreda,has_nickname,frieda
algernon,has_nickname,algy
alice,has_nickname,allie
alice,has_nickname,elsie
alice,has_nickname,lisa
alicia,has_nickname,allie
alicia,has_nickname,elsie
alicia,has_nickname,lisa
aline,has_nickname,adeline
alison,has_nickname,ali
alison,has_nickname,allie
alixandra,has_nickname,alix
allan,has_nickname,al
allan,has_nickname,alan
allan,has_nickname,allen
allen,has_nickname,al
allen,has_nickname,alan
allen,has_nickname,allan
allisandra,has_nickname,ali
allisandra,has_nickname,allie
allisandra,has_nickname,ally
allison,has_nickname,ali
allison,has_nickname,allie
allison,has_nickname,ally
allyson,has_nickname,ali
allyson,has_nickname,allie
allyson,has_nickname,ally
allyssa,has_nickname,ali
allyssa,has_nickname,allie
allyssa,has_nickname,ally
almena,has_nickname,ali
almena,has_nickname,allie
almena,has_nickname,ally
almena,has_nickname,mena
almina,has_nickname,minnie
almira,has_nickname,myra
alonzo,has_nickname,al
alonzo,has_nickname,lon
alonzo,has_nickname,lonzo
alphinias,has_nickname,alphus
althea,has_nickname,ally
alverta,has_nickname,vert
alverta,has_nickname,virdie
alyssa,has_nickname,al
alyssa,has_nickname,ally
alyssa,has_nickname,lissia
alzada,has_nickname,zada
amanda,has_nickname,manda
amanda,has_nickname,mandy
ambrose,has_nickname,brose
amelia,has_nickname,amy
amelia,has_nickname,emily
amelia,has_nickname,mel
amelia,has_nickname,millie
amos,has_nickname,moses
anastasia,has_nickname,ana
anastasia,has_nickname,stacy
anderson,has_nickname,andy
andre,has_nickname,drea
andrea,has_nickname,andi
andrea,has_nickname,andrew
andrea,has_nickname,andy
andrea,has_nickname,drea
andrea,has_nickname,rea
andrew,has_nickname,andy
andrew,has_nickname,drew
andrew,has_nickname,randy
andriane,has_nickname,ada
